Date,VALUE,VOLUME
2018-06-29 16:00:00.026,186.13,100.0
2018-06-29 16:00:00.027,186.12,100.0
2018-06-29 16:00:00.038,186.12,1.0
2018-06-29 16:00:00.038,186.12,1.0
2018-06-29 16:00:00.344,186.12,98.0
2018-06-29 16:00:01.045,186.13,10.0
2018-06-29 16:00:01.045,186.13,90.0
2018-06-29 16:00:01.374,186.13,100.0
2018-06-29 16:00:01.688,186.1399,30.0
2018-06-29 16:00:02.722,186.1227,25.0
2018-06-29 16:00:02.722,186.13,100.0
2018-06-29 16:00:03.060,186.13,100.0
2018-06-29 16:00:03.379,186.13,9.0
2018-06-29 16:00:03.431,186.14,15.0
2018-06-29 16:00:04.461,186.12,500.0
2018-06-29 16:00:04.463,186.13,43.0
2018-06-29 16:00:05.911,186.14,777.0
2018-06-29 16:00:06.028,186.12,100.0
2018-06-29 16:00:06.209,186.14,1.0
2018-06-29 16:00:06.756,186.12,14.0
2018-06-29 16:00:07.366,186.1201,3.0
2018-06-29 16:00:07.474,186.12,23.0
2018-06-29 16:00:07.477,186.12,100.0
2018-06-29 16:00:07.485,186.12,50.0
2018-06-29 16:00:07.637,186.12,30.0
2018-06-29 16:00:07.670,186.12,100.0
2018-06-29 16:00:07.675,186.12,36.0
2018-06-29 16:00:07.675,186.12,1.0
2018-06-29 16:00:07.675,186.12,1.0
2018-06-29 16:00:07.675,186.12,1.0
2018-06-29 16:00:07.675,186.12,100.0
2018-06-29 16:00:07.675,186.12,1.0
2018-06-29 16:00:07.675,186.12,3.0
2018-06-29 16:00:07.675,186.12,100.0
2018-06-29 16:00:07.675,186.12,62.0
2018-06-29 16:00:07.675,186.12,38.0
2018-06-29 16:00:07.675,186.12,12.0
2018-06-29 16:00:07.676,186.12,247.0
2018-06-29 16:00:07.676,186.12,23.0
2018-06-29 16:00:07.676,186.12,30.0
2018-06-29 16:00:07.676,186.12,40.0
2018-06-29 16:00:07.690,186.1,200.0
2018-06-29 16:00:07.690,186.1,100.0
2018-06-29 16:00:07.690,186.1,100.0
2018-06-29 16:00:07.690,186.1,100.0
2018-06-29 16:00:07.692,186.09,100.0
2018-06-29 16:00:07.692,186.09,300.0
2018-06-29 16:00:07.692,186.09,100.0
2018-06-29 16:00:07.693,186.09,100.0
2018-06-29 16:00:07.737,186.1,92.0
2018-06-29 16:00:07.737,186.1,100.0
2018-06-29 16:00:07.737,186.1,8.0
2018-06-29 16:00:07.737,186.1,100.0
2018-06-29 16:00:08.388,186.09,35.0
2018-06-29 16:00:08.487,186.09,100.0
2018-06-29 16:00:09.058,186.09,4.0
2018-06-29 16:00:09.257,186.0984,100.0
2018-06-29 16:00:09.262,186.1,100.0
2018-06-29 16:00:09.262,186.1,100.0
2018-06-29 16:00:09.263,186.1,100.0
2018-06-29 16:00:09.263,186.1,25.0
2018-06-29 16:00:09.263,186.0989,100.0
2018-06-29 16:00:09.263,186.1,86.0
2018-06-29 16:00:09.263,186.0975,500.0
2018-06-29 16:00:09.263,186.1,14.0
2018-06-29 16:00:10.124,186.1035,17.0
2018-06-29 16:00:10.892,186.1,262.0
2018-06-29 16:00:11.634,186.105,2.0
2018-06-29 16:00:11.638,186.1,100.0
2018-06-29 16:00:11.651,186.1,1.0
2018-06-29 16:00:11.652,186.1,100.0
2018-06-29 16:00:11.652,186.1,100.0
2018-06-29 16:00:11.832,186.1,20.0
2018-06-29 16:00:12.267,186.1,100.0
2018-06-29 16:00:12.656,186.09,100.0
2018-06-29 16:00:14.122,186.1,100.0
2018-06-29 16:00:14.122,186.1,10.0
2018-06-29 16:00:15.089,186.1,100.0
2018-06-29 16:00:15.089,186.1,100.0
2018-06-29 16:00:15.090,186.1,100.0
2018-06-29 16:00:15.090,186.1,26.0
2018-06-29 16:00:15.090,186.1,100.0
2018-06-29 16:00:15.099,186.09,100.0
2018-06-29 16:00:15.099,186.09,100.0
2018-06-29 16:00:15.167,186.09,100.0
2018-06-29 16:00:15.167,186.09,100.0
2018-06-29 16:00:15.167,186.09,100.0
2018-06-29 16:00:16.687,186.0848,100.0
2018-06-29 16:00:17.069,186.0835,50.0
2018-06-29 16:00:17.212,186.09,1.0
2018-06-29 16:00:17.212,186.09,99.0
2018-06-29 16:00:17.266,186.09,100.0
2018-06-29 16:00:19.009,186.085,1.0
2018-06-29 16:00:19.013,186.08,87.0
2018-06-29 16:00:19.023,186.08,12.0
2018-06-29 16:00:19.536,186.08,88.0
2018-06-29 16:00:19.536,186.08,1.0
2018-06-29 16:00:19.537,186.08,100.0
2018-06-29 16:00:19.537,186.08,1.0
2018-06-29 16:00:19.628,186.066,20.0
2018-06-29 16:00:19.672,186.0646,242.0
2018-06-29 16:00:20.103,186.06,100.0
2018-06-29 16:00:20.184,186.06,100.0
2018-06-29 16:00:20.186,186.05,100.0
2018-06-29 16:00:20.791,186.06,10.0
2018-06-29 16:00:20.818,186.05,30.0
2018-06-29 16:00:20.818,186.05,100.0
2018-06-29 16:00:20.819,186.04,20.0
2018-06-29 16:00:20.819,186.04,22.0
2018-06-29 16:00:20.819,186.04,100.0
2018-06-29 16:00:20.819,186.04,58.0
2018-06-29 16:00:20.819,186.03,22.0
2018-06-29 16:00:20.819,186.03,44.0
2018-06-29 16:00:20.821,186.04,22.0
2018-06-29 16:00:20.822,186.039,2.0
2018-06-29 16:00:20.886,186.05,100.0
2018-06-29 16:00:21.508,186.06,9.0
2018-06-29 16:00:21.550,186.06,100.0
2018-06-29 16:00:22.417,186.07,100.0
2018-06-29 16:00:22.417,186.07,1.0
2018-06-29 16:00:22.417,186.07,1.0
2018-06-29 16:00:22.418,186.07,100.0
2018-06-29 16:00:24.484,186.08,10.0
2018-06-29 16:00:24.715,186.07,1.0
2018-06-29 16:00:24.761,186.07,1.0
2018-06-29 16:00:24.767,186.0701,1.0
2018-06-29 16:00:25.259,186.08,72.0
2018-06-29 16:00:25.259,186.08,28.0
2018-06-29 16:00:25.259,186.08,72.0
2018-06-29 16:00:25.259,186.08,118.0
2018-06-29 16:00:28.272,186.08,100.0
2018-06-29 16:00:28.272,186.08,10.0
2018-06-29 16:00:28.273,186.08,2.0
2018-06-29 16:00:28.380,186.075,1.0
2018-06-29 16:00:29.446,186.07,600.0
2018-06-29 16:00:30.532,186.0797,119.0
2018-06-29 16:00:30.632,186.08,44.0
2018-06-29 16:00:30.996,186.0821,1.0
2018-06-29 16:00:31.286,186.0701,125.0
2018-06-29 16:00:32.269,186.08,100.0
2018-06-29 16:00:33.180,186.08,58.0
2018-06-29 16:00:37.478,186.09,100.0
2018-06-29 16:00:38.093,186.0801,3.0
2018-06-29 16:00:39.413,186.09,1.0
2018-06-29 16:00:39.413,186.09,174.0
2018-06-29 16:00:39.413,186.09,25.0
2018-06-29 16:00:39.413,186.09,100.0
2018-06-29 16:00:39.413,186.09,10.0
2018-06-29 16:00:39.413,186.09,100.0
2018-06-29 16:00:39.413,186.09,1.0
2018-06-29 16:00:39.413,186.09,1.0
2018-06-29 16:00:39.414,186.11,100.0
2018-06-29 16:00:39.414,186.11,300.0
2018-06-29 16:00:39.415,186.1,100.0
2018-06-29 16:00:40.434,186.1061,34.0
2018-06-29 16:00:41.444,186.105,100.0
2018-06-29 16:00:43.070,186.11,10.0
2018-06-29 16:00:43.071,186.11,100.0
2018-06-29 16:00:43.071,186.11,100.0
2018-06-29 16:00:43.071,186.11,100.0
2018-06-29 16:00:43.071,186.11,100.0
2018-06-29 16:00:43.071,186.11,100.0
2018-06-29 16:00:43.071,186.11,100.0
2018-06-29 16:00:43.071,186.11,790.0
2018-06-29 16:00:43.071,186.11,2.0
2018-06-29 16:00:43.071,186.11,98.0
2018-06-29 16:00:43.074,186.11,100.0
2018-06-29 16:00:43.078,186.1,2310.0
2018-06-29 16:00:43.242,186.1,100.0
2018-06-29 16:00:43.253,186.1,1.0
2018-06-29 16:00:43.253,186.1,1.0
2018-06-29 16:00:43.253,186.1,100.0
2018-06-29 16:00:43.302,186.081,1.0
2018-06-29 16:00:43.622,186.0801,3.0
2018-06-29 16:00:44.055,186.09,100.0
2018-06-29 16:00:44.193,186.09,100.0
2018-06-29 16:00:44.194,186.09,35.0
2018-06-29 16:00:44.194,186.09,69.0
2018-06-29 16:00:44.194,186.09,65.0
2018-06-29 16:00:44.194,186.09,1.0
2018-06-29 16:00:44.194,186.09,31.0
2018-06-29 16:00:44.199,186.1,200.0
2018-06-29 16:00:44.199,186.1,100.0
2018-06-29 16:00:44.219,186.1,1.0
2018-06-29 16:00:44.354,186.0999,2.0
2018-06-29 16:00:45.189,186.09,25.0
2018-06-29 16:00:47.269,186.1,100.0
2018-06-29 16:00:49.453,186.11,1.0
2018-06-29 16:00:49.454,186.1,1.0
2018-06-29 16:00:52.098,186.0978,2.0
2018-06-29 16:00:53.128,186.12,4.0
2018-06-29 16:00:55.301,186.0915,15.0
2018-06-29 16:00:55.616,186.09,100.0
2018-06-29 16:00:55.617,186.09,1.0
2018-06-29 16:00:55.617,186.09,1.0
2018-06-29 16:00:55.617,186.09,10.0
2018-06-29 16:00:55.617,186.09,1.0
2018-06-29 16:00:55.617,186.09,9.0
2018-06-29 16:00:56.284,186.09,60.0
2018-06-29 16:00:56.284,186.09,40.0
2018-06-29 16:00:56.668,186.08,30.0
2018-06-29 16:00:56.668,186.08,100.0
2018-06-29 16:00:56.669,186.08,200.0
2018-06-29 16:00:56.669,186.08,100.0
2018-06-29 16:00:56.669,186.08,100.0
2018-06-29 16:01:00.339,186.075,25.0
2018-06-29 16:01:01.449,186.07,10.0
2018-06-29 16:01:03.363,186.08,1.0
2018-06-29 16:01:03.365,186.0799,1.0
2018-06-29 16:01:03.369,186.08,100.0
